code,name,est_sum_total_est
913101,اردبيل - آستارا (گيلانده - نمين),285902
163216,آمل - رودهن (پنجاب - گزنک),284803
163221,رودهن -آمل ( امامزاده هاشم- پلور),283805
363253,شوش - اهواز (شوش - الوان),282504
163215,آمل - رودهن (سه راه بلده - پنجاب),282099
164451,نوشهر - نور (نوشهر - سي سنگان),281953
164401,نور - نوشهر (سی سنگان - نوشهر),281718
213270,شهرضا - اصفهان (روبروي wim),281597
363753,سه راهي آغاجاري - بهبهان,281358
873455,آرادان - گرمسار,281330
163258,آمل - رودهن (گزنک - پلور),281275
163264,رودهن - آمل (سه راه بلده - شاه زيد),281191
163254,بابل - گتاب,281092
163263.0,"0     رودهن - آمل (شاه زيد - سه راه سنگچال)
1     رودهن - آمل (شاه زيد - سه راه سنگچال)
2     رودهن - آمل (شاه زيد - سه راه سنگچال)
3     رودهن - آمل (شاه زيد - سه راه سنگچال)
4     رودهن - آمل (شاه زيد - سه راه سنگچال)
5     رودهن - آمل (شاه زيد - سه راه سنگچال)
6     رودهن - آمل (شاه زيد - سه راه سنگچال)
7     رودهن - آمل (شاه زيد - سه راه سنگچال)
8     رودهن - آمل (شاه زيد - سه راه سنگچال)
9     رودهن - آمل (شاه زيد - سه راه سنگچال)
10    رودهن - آمل (شاه زيد - سه راه سنگچال)
11    رودهن - آمل (شاه زيد - سه راه سنگچال)
12    رودهن - آمل (شاه زيد - سه راه سنگچال)
13    رودهن - آمل (شاه زيد - سه راه سنگچال)
14    رودهن - آمل (شاه زيد - سه راه سنگچال)
15    رودهن - آمل (شاه زيد - سه راه سنگچال)
16    رودهن - آمل (شاه زيد - سه راه سنگچال)
17    رودهن - آمل (شاه زيد - سه راه سنگچال)
18    رودهن - آمل (شاه زيد - سه راه سنگچال)
19    رودهن - آمل (شاه زيد - سه راه سنگچال)
20    رودهن - آمل (شاه زيد - سه راه سنگچال)
21    رودهن - آمل (شاه زيد - سه راه سنگچال)
22    رودهن - آمل (شاه زيد - سه راه سنگچال)
23    رودهن - آمل (شاه زيد - سه راه سنگچال)
24    رودهن - آمل (شاه زيد - سه راه سنگچال)
25    رودهن - آمل (شاه زيد - سه راه سنگچال)
26    رودهن - آمل (شاه زيد - سه راه سنگچال)
27    رودهن - آمل (شاه زيد - سه راه سنگچال)
28    رودهن - آمل (شاه زيد - سه راه سنگچال)
29    رودهن - آمل (شاه زيد - سه راه سنگچال)
30    رودهن - آمل (شاه زيد - سه راه سنگچال)
31    رودهن - آمل (شاه زيد - سه راه سنگچال)
32    رودهن - آمل (شاه زيد - سه راه سنگچال)
33    رودهن - آمل (شاه زيد - سه راه سنگچال)
34    رودهن - آمل (شاه زيد - سه راه سنگچال)
35    رودهن - آمل (شاه زيد - سه راه سنگچال)
36    رودهن - آمل (شاه زيد - سه راه سنگچال)
37    رودهن - آمل (شاه زيد - سه راه سنگچال)
38    رودهن - آمل (شاه زيد - سه راه سنگچال)
Name: name, dtype: object",281003
313954,چناران - قوچان (دستگاه توزين),279595
113213,تهران - لواسانات (طلائيه),279238
113502,دماوند - فيروزکوه (سه‌راهي ارجمند - فيروزکوه),279207
313151,نيشابور - سه‌راه باغچه (ابرش),279141
163510,گلوگاه - کردکوي (گلوگاه),278088
713102,کرمانشاه - قزانچي,278036
453204,کرمان - ماهان (هفت باغ علوي),277984
453254,ماهان - کرمان(هفت باغ علوي),277706
114413,شريف آباد - گرمسار,277558
573101,اروميه - مهاباد (اروميه - رشکان),276048
163204,گتاب - بابل,274893
414819,مرودشت - سعادت شهر,274578
143174,کمربندي قم (اراک - قم),273892
543953,اسالم - پونل,273863
113552,فيروزکوه - دماوند (فيروزکوه - سه‌راهي ارجمند),273019
113653.0,فرودگاه امام خميني - آزادراه قم، تهران,272871
913275,نير - اردبیل (اردبیل),271709
363104,اهواز - ملاثاني,271071
513658,آزادراه سلفچگان - ساوه (آوه - ساوه),270925
773256,فرخشهر - شهرکرد,268422
163265,رودهن - آمل (پنجاب - سه راه بلده),268284
263287.0,آزادراه زنجان - تبريز (بستان آباد),268057
113454,فيروزکوه - دماوند (سه‌راه ارجمند - امين‌آباد),268008
363279,شوش - اهواز (اهواز),267827
163266,رودهن - آمل (گزنک - پنجاب),267649
363154,ملاثاني - اهواز,267451
813208,خرم‌آباد - پلدختر (چم انجير),267438
164154,کرج - چالوس (مرزن آباد - دوآب),267042
264455,آزادراه زنجان - تبريز (بستان‌آباد - عوارضي تبريز),266917
513699,آزادراه ساوه - سلفچگان (عوارضي سلفچگان),266684
414802,سعادتشهر - صفاشهر,266474
543903,پونل - اسالم,265963
363703,بهبهان - سه راهي آغاجاري,265540
873308,دامغان - شاهرود (دهملا - شاهرود),265262
164107,قائمشهر - فيروزکوه (گرزين خيل - ورسک),264226
543310,بندرانزلي - حسن رود,264046
113458,پلور - آبعلي (سه‌راهي مشاء - آبعلي),263679
543360,حسن رود - بندر انزلي,263602
183114,جاده قديم کرج - قزوين (کمالشهر),262748
773206,شهرکرد - فرخشهر,262498
313195,مشهد - نيشابور (قدمگاه),262101
363603,ماهشهر - بندرامام,261804
214702,خميني‌شهر - نجف‌آباد,261459
313951,قوچان - چناران (سه‌راه چکنه - چناران),261373
214255,آزادراه نطنز - کاشان (نطنز),260603
163212.0,آمل - رودهن (پارک جنگلي - سه راه سنگچال),260376
414869,سعادت شهر - مرودشت,260142
513649,آزادراه سلفچگان - ساوه (عوارضي سلفچگان),260007
643144,سه راه بابا غلام - بندرعباس,259414
213220,اصفهان - شهرضا (جنب wim),259144
113468.0,فيروزکوه - دماوند (امين‌آباد - سربندان),258987
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),257802
214952,آزادراه اصفهان - نطنز (نطنز),257519
953214,بوشهر - برازجان,257358
184206,كرج - ماهدشت,256743
164603,آزادراه شمال - تهران (چالوس - مرزن‌آباد),255525
113428,جاده مخصوص تهران - کرج (وردآورد),255028
313909,قوچان - فاروج (قوچان),254760
544251,فومن - بازارجمعه,254013
163208,رودهن - آمل (پلور - گزنک),253261
263161,آزادراه زنجان - تبريز (عوارضي تبريز - تبريز),253194
214752,نجف‌آباد - خميني‌شهر,252779
713152,قزانچي - کرمانشاه,252388
873352,دامغان - شاهرود (دامغان - دهملا),251952
163453,بهنمير - بابلسر,251373
973951.0,مينودشت - آزادشهر,250166
873358.0,شاهرود - دامغان (شاهرود - دهملا),249901
