|code|nowruz_02|nowruz_03
165|215154|['1401-12-10', '1401-12-11', '1401-12-12', '1401-12-13', '1401-12-14', '1401-12-15', '1401-12-16', '1401-12-17', '1402-01-14']|
166|215205||['1402-12-28']
167|215253|['1402-01-11']|
168|215255.0|['1402-01-11', '1402-01-14']|
169|215353|['1402-01-13']|
170|263103||['1403-01-04', '1403-01-10']
171|263104|['1402-01-14']|
172|263105|['1402-01-14']|
173|263153||['1403-01-10']
174|263154|['1401-12-29']|['1402-12-29']
175|263155|['1401-12-29']|['1402-12-28', '1402-12-29']
176|263162|['1402-01-14']|
177|263501|['1402-01-01']|
178|263551|['1402-01-04']|
179|263602|['1401-12-25']|
180|263652|['1401-12-25']|
181|263804|['1402-01-03', '1402-01-04']|['1403-01-10']
182|263806|['1402-01-04']|['1403-01-10']
183|263852|['1402-01-13']|
184|263854|['1402-01-03', '1402-01-04']|['1403-01-10']
185|263856||['1403-01-10']
186|263901|['1402-01-14']|
187|263902|['1401-12-29']|['1402-12-29']
188|263903|['1402-01-14']|
189|263951|['1401-12-28', '1401-12-29']|['1402-12-28', '1402-12-29']
190|263952|['1402-01-14']|
191|264202||['1402-12-24', '1402-12-26', '1402-12-27', '1402-12-28']
192|264405||['1403-01-01']
193|264406|['1402-01-13']|['1403-01-13']
194|264456|['1402-01-13']|['1403-01-13']
195|264701|['1402-01-13']|
196|264703|['1402-01-03', '1402-01-04', '1402-01-05', '1402-01-06', '1402-01-10', '1402-01-13']|['1403-01-07', '1403-01-09', '1403-01-10', '1403-01-12']
197|264751|['1402-01-13']|['1403-01-13']
198|264753|['1402-01-03', '1402-01-05', '1402-01-13']|
199|313101||['1402-12-29']
200|313106.0|['1402-01-13']|
201|313107|['1402-01-13']|['1403-01-13']
202|313120|['1402-01-13']|['1403-01-13']
203|313145|['1401-12-29']|['1402-12-29']
204|313151|['1401-12-29']|
205|313157|['1402-01-13']|
206|313159|['1402-01-13']|
207|313160||['1402-12-16', '1403-01-15']
208|313170|['1402-01-13']|
209|313171|['1401-12-15', '1401-12-16']|
210|313180|['1402-01-13']|
211|313194||['1402-12-29', '1403-01-03', '1403-01-04', '1403-01-05', '1403-01-06', '1403-01-10', '1403-01-11']
212|313223|['1401-12-29']|['1402-12-29']
213|313258|['1402-01-13']|
214|313274|['1401-12-29']|['1402-12-29']
215|313703||['1402-12-23']
216|313752||['1402-12-12']
217|313801|['1401-12-28', '1401-12-29']|['1402-12-29']
218|313805||['1402-12-29']
219|313806|['1401-12-29']|['1402-12-29']
220|313822|['1402-01-04']|
221|313855|['1401-12-28', '1401-12-29', '1402-01-01']|['1402-12-28', '1402-12-29', '1403-01-01', '1403-01-03', '1403-01-05']
222|313856||['1402-12-29']
223|313872|['1401-12-29']|
224|313901|['1402-01-01']|
225|313909|['1402-01-01', '1402-01-02']|
226|313954|['1402-01-01']|
227|313960|['1402-01-13']|
228|314102||['1402-12-12', '1402-12-13']
229|314154||['1402-12-20', '1402-12-21', '1402-12-22', '1402-12-24']
230|314201|['1402-01-04', '1402-01-14']|['1403-01-04', '1403-01-05']
231|314202||['1403-01-02', '1403-01-03', '1403-01-04', '1403-01-05', '1403-01-06', '1403-01-07', '1403-01-08', '1403-01-09', '1403-01-10', '1403-01-11']
232|314203|['1402-01-13']|
233|314251|['1401-12-29', '1402-01-11']|['1402-12-29']
234|314252|['1402-01-12']|['1403-01-02', '1403-01-03', '1403-01-04', '1403-01-05', '1403-01-06', '1403-01-08', '1403-01-09', '1403-01-10', '1403-01-11']
235|314253||['1402-12-22', '1402-12-25']
236|314301|['1401-12-29', '1402-01-01']|['1402-12-29']
237|314303|['1401-12-29']|['1402-12-29']
238|314304|['1402-01-13']|
239|314320|['1401-12-28', '1401-12-29']|['1402-12-28', '1402-12-29']
240|314351|['1402-01-13']|['1403-01-13']
241|314352|['1401-12-26', '1401-12-27', '1401-12-28', '1401-12-29']|['1402-12-28', '1402-12-29', '1403-01-01', '1403-01-02']
242|314353|['1401-12-25', '1401-12-26', '1401-12-27', '1401-12-28', '1402-01-13', '1402-01-14']|['1403-01-06', '1403-01-07', '1403-01-08', '1403-01-09', '1403-01-11', '1403-01-13', '1403-01-14', '1403-01-16']
243|314354|['1402-01-13']|
244|314701||['1402-12-29']
245|314751|['1401-12-29', '1402-01-01', '1402-01-02']|['1402-12-29']
246|315305|['1401-12-28', '1401-12-29', '1402-01-01', '1402-01-02', '1402-01-04']|['1402-12-29', '1403-01-02']
247|315355|['1401-12-26', '1402-01-04', '1402-01-13']|['1403-01-10']
248|315451|['1402-01-04']|
249|315501|['1401-12-29', '1402-01-01', '1402-01-02', '1402-01-13']|['1402-12-29']
250|315502|['1401-12-29']|['1402-12-10']
251|315503|['1402-01-04']|
252|315505|['1402-01-11', '1402-01-12', '1402-01-13']|['1403-01-12']
253|315551|['1402-01-02', '1402-01-04', '1402-01-13']|
254|315553|['1401-12-12', '1401-12-13', '1401-12-14', '1401-12-15', '1401-12-16', '1401-12-29']|
255|315554|['1401-12-25', '1401-12-26', '1401-12-27', '1401-12-28', '1401-12-29']|['1402-12-27', '1402-12-28', '1402-12-29']
256|315555|['1401-12-25', '1401-12-26', '1401-12-27', '1401-12-28', '1401-12-29']|['1402-12-28', '1402-12-29']
257|315728|['1401-12-29', '1402-01-01']|
258|315751|['1401-12-29']|['1402-12-28', '1402-12-29', '1403-01-03', '1403-01-04', '1403-01-05', '1403-01-06', '1403-01-07', '1403-01-08']
259|315773|['1402-01-13']|
260|315778|['1402-01-02']|
261|323101|['1402-01-13']|
262|323203|['1402-01-13', '1402-01-14', '1402-01-15']|['1403-01-13', '1403-01-14', '1403-01-16', '1403-01-17']
263|323204|['1401-12-28']|['1402-12-27']
264|323205|['1401-12-25', '1401-12-28', '1401-12-29']|['1402-12-29']
265|323206|['1401-12-29']|
266|323207|['1401-12-27', '1401-12-28', '1401-12-29', '1402-01-11']|['1402-12-29']
267|323208|['1401-12-28', '1401-12-29']|['1402-12-28', '1402-12-29']
268|323209|['1402-01-13', '1402-01-14', '1402-01-15']|['1403-01-14', '1403-01-16', '1403-01-17']
269|323211|['1402-01-03', '1402-01-04']|['1403-01-03', '1403-01-04', '1403-01-05']
270|323253|['1401-12-28', '1401-12-29']|['1402-12-28', '1402-12-29', '1403-01-01']
271|323255|['1401-12-28']|
272|323257|['1401-12-28', '1402-01-11']|['1403-01-08', '1403-01-09']
273|323258|['1402-01-13', '1402-01-14']|
274|323259|['1401-12-27', '1401-12-28', '1401-12-29', '1402-01-01']|['1402-12-28', '1402-12-29']
275|323260||['1403-01-13']
276|323269.0|['1402-01-13']|['1403-01-13']
277|323304.0|['1402-01-01']|
278|323358|['1402-01-13']|
279|323551|['1402-01-01']|
280|323552|['1402-01-01']|
281|333101||['1402-12-23']
282|333108|['1401-12-26', '1401-12-29', '1402-01-01', '1402-01-02', '1402-01-03', '1402-01-04']|['1402-12-29', '1403-01-01', '1403-01-09', '1403-01-10']
283|333110|['1401-12-26', '1401-12-29', '1402-01-01', '1402-01-02', '1402-01-03', '1402-01-04', '1402-01-05']|['1402-12-29', '1403-01-02', '1403-01-03', '1403-01-04', '1403-01-05']
284|333151||['1402-12-12', '1402-12-13']
285|333158||['1403-01-07', '1403-01-08', '1403-01-09', '1403-01-10']
286|333160||['1402-12-29']
287|333201||['1403-01-09', '1403-01-10', '1403-01-11', '1403-01-16']
288|333215|['1401-12-29', '1402-01-02', '1402-01-03', '1402-01-04', '1402-01-12', '1402-01-13']|['1403-01-04', '1403-01-09']
289|333216|['1401-12-28', '1401-12-29', '1402-01-01', '1402-01-02', '1402-01-03', '1402-01-04']|['1402-12-29', '1403-01-02', '1403-01-03', '1403-01-04']
290|333217|['1401-12-28', '1401-12-29', '1402-01-02', '1402-01-10', '1402-01-11']|['1403-01-09', '1403-01-10']
291|333221|['1401-12-28']|
292|333223|['1401-12-29', '1402-01-02', '1402-01-03']|
293|333224||['1403-01-08', '1403-01-09', '1403-01-10', '1403-01-11']
294|333225|['1401-12-16']|
295|333225.0||['1403-01-03']
296|333230||['1402-12-28', '1402-12-29', '1403-01-06', '1403-01-07', '1403-01-08', '1403-01-11', '1403-01-12']
297|333265|['1401-12-29', '1402-01-01', '1402-01-02', '1402-01-03', '1402-01-04', '1402-01-05']|['1403-01-01', '1403-01-02', '1403-01-03', '1403-01-04', '1403-01-05', '1403-01-06', '1403-01-07']
298|333266|['1401-12-28', '1401-12-29', '1402-01-02', '1402-01-03']|['1402-12-29']
