code,name,avg_speed_1to3,avg_spped_total,diff_speed
114551,آزادراه کرج - تهران (عوارضي قديم),85,86,1
414807.0,مرودشت - شيراز (مرودشت - دو راهي لپويي),83,84,1
833306,سه راهي ملکشاهي - بدره,85,86,1
613562,هيرمند - زابل (حيدرآباد),49,50,1
143119,جمکران - پل جاده کاشان,54,55,1
833403,آبدانان - مورموري,70,71,1
413951,ياسوج - سپيدان (سپيدان),71,72,1
953252,فراشبند - اهرم,82,83,1
833355,آبدانان - دره شهر,72,73,1
833352,پلدختر - دره شهر (پل گاوميشان - دره شهر),34,35,1
143120,جمکران - قم (بلوار پيامبر اعظم),70,71,1
163751,نور - محمودآباد,72,73,1
414112,چاه کبکان - بندر شيرينو (مرز استان),52,53,1
414806,مرودشت - شيراز (دوراهي لپويي - زرقان),79,80,1
913451,سه راهي بيله سوار - بيله سوار,60,61,1
414705,لامرد - احشام,77,78,1
613704,نيکشهر(سه راهي نيکشهر) - چابهار(منطقه آزاد چابهار),66,67,1
164402,نور - نوشهر (نور - سي سنگان),74,75,1
574452.0,پيرانشهر - نقده,75,76,1
313601,تايباد - پايانه مرزي دوغارون,95,96,1
574402.0,نقده - پيرانشهر,75,76,1
414653.0,بستک - لار (لار),59,60,1
574301.0,مياندوآب - بوکان (مياندوآب),78,79,1
643162,سه‌راهي فارياب - سه‌راهي چاه اسماعيل,80,81,1
953302,دير(جاده ساحلي) - بردخون کهنه,78,79,1
773402,دشتک - سه‌راهي بهشت‌آباد,57,58,1
184216,کردان - برغان,49,50,1
364602,مسجدسليمان - شوشتر (سه‌راهي گاو سوار - شوشتر),77,78,1
773357,گوشکي - گندمان,91,92,1
313155,آزادراه باغچه - مشهد (مشهد),85,86,1
813901,کوهدشت - سه راهي زانوگه,70,71,1
833273,مهران - ايلام (صالح آباد),77,78,1
313152,سرخس - مشهد (رضويه - مشهد),73,74,1
613293,ايرندگان - ايرانشهر (سايگان),74,75,1
643231.0,بندرعباس - ايسين(راه آهن),82,83,1
833104,ايلام - بدره,79,80,1
323209,سنخواست - جاجرم,91,92,1
414358.0,قير - فيروز آباد,74,75,1
833261,سومار - زرنه,69,70,1
833154,بدره - ايلام,87,88,1
414359.0,جهرم - سه راهي ميمند,73,74,1
643252,جاسک - ميناب,73,74,1
833155,مرز مهران - مهران,87,88,1
153221.0,بوئين زهرا - اشتهارد,51,52,1
453303,رابر - بافت (رابر),91,92,1
414452,برازجان - کازرون (کنارتخته - کازرون),79,80,1
833223,ايلام - مهران (صالح آباد),83,84,1
453313,رابر - جيرفت (قنات ملك),62,63,1
163301,بابل - بابلسر,41,42,1
453204,کرمان - ماهان (هفت باغ علوي),67,68,1
323158,اسفراين - سه راهي ايرج,65,66,1
813602,بروجرد - سه راهي چالان چولان,84,85,1
414605,لار - گراش,63,64,1
153309,عوارضي آزادراه قزوين،زنجان - تاکستان (مجموع گيت ها),28,29,1
413109,دشت ارژن - قائميه,82,83,1
773305,گندمان - بلداجي (بلداجي),90,91,1
573801,سه‌راهي ايواغلي - ماکو (ايواغلي - قره ضياءالدين),36,37,1
773164,کمربندي سامان (آرامستان) - شهرکرد,90,91,1
453111,سه‌راهي راين - راين,89,90,1
313904,قوچان - چناران (متناظر توزين),87,88,1
833704,مهران - ملکشاهي,80,81,1
913851,اونگوت - قره آغاج,55,56,1
613560,زهک-زابل,38,39,1
364702,اميديه - ديلم,89,90,1
613502,زابل - نهبندان (زابل),47,48,1
313960,درگز - قوچان (امام قلي - قوچان),54,55,1
113391,آزادراه شمال - تهران (قطعه اول - بعد از تونل 12),69,70,1
453163,نهبندان - شهداد (شهداد),76,77,1
