code,name,est_sum_total_est
713853,سه راهي هرسين - بيستون,629298
143252,کاشان - عوارضي قم,628449
113466,دماوند - فيروزکوه (گيلاوند - آبسرد),628210
164119,فيروزکوه - قائمشهر (پل سفيد - زيرآب) (متناظر توزين),627952
873327,شاهرود - بسطام,627557
753103,همدان - جوکار,625944
544251,فومن - بازارجمعه,625537
643154,سه‌راهي چاه اسماعيل - بندرعباس,624408
163851,رامسر - تنکابن,624234
163263,رودهن - آمل (شاه زيد - سه راه سنگچال),621947
913275.0,نير - اردبیل (اردبیل),620458
163264,رودهن - آمل (سه راه بلده - شاه زيد),620052
263401,تبريز - خواجه,616649
643104,بندرعباس - سه‌راهي چاه اسماعيل,616347
363653,بندر امام - ماهشهر,615435
574303,مياندوآب - ملکان (مياندوآب),615135
164154,کرج - چالوس (مرزن آباد - دوآب),614549
643196,درگهان - قشم,613119
313101,سه‌راه باغچه - نيشابور (ابرش),611816
873377,بسطام - شاهرود,610156
163265,رودهن - آمل (پنجاب - سه راه بلده),608292
753153,جوکار - همدان,605536
113424,رودهن - آبعلي,603771
544201,بازارجمعه - فومن,602940
813154,دورود - سه راهي چالان چولان,602040
413161.0,شيراز - کوار (سه‌راهي کوار - کوار),601921
163373,گنج افروز - بابل (جنب دوربين ثبت تخلف),601076
163510,گلوگاه - کردکوي (گلوگاه),600221
813104,سه راهي چالان چولان - دورود,600159
413272.0,کازرون - شيراز,598995
264202,بناب - ملکان,597682
673105,آزادراه زنجان - تبريز (عوارضي زنجان),596008
913276,آستارا - اردبيل (گيلانده - اردبيل),594647
263602,مراغه - بناب,594064
643194,بندرعباس - سه راه بابا غلام,593834
453153.0,باغين - کرمان,592791
543109,رشت - پير بازار,592366
543159,پيربازار - رشت,591961
673155,آزادراه تبريز - زنجان (عوارضي زنجان),591060
163221,رودهن -آمل ( امامزاده هاشم- پلور),590326
673651,ابهر - خرمدره,585022
513265,بروجرد - توره (توره),584775
643852,ميناب - سه‌راهي چاه اسماعيل,584427
413174.0,کازرون - شيراز (دشت ارژن - خان زنيان),584379
513215,توره - بروجرد (توره) (متناظر توزين),583962
643146,قشم - درگهان,583254
264251,عجبشير - بناب,583158
263351,تبريز - سهند,583006
264201,بناب - عجبشير,581729
933259,مهريز - يزد (متناظر توزين),581605
113413,آبعلي - پلور (سه‌راهي مشاء - امامزاده هاشم),580919
113417,دماوند - فيروزکوه (آبسرد - سربندان),579742
873155,سرخه - سمنان,576552
113418,دماوند - فيروزکوه (سربندان - امين‌آباد),576272
263451,خواجه - تبريز,575756
264455,آزادراه زنجان - تبريز (بستان‌آباد - عوارضي تبريز),575593
163216,آمل - رودهن (پنجاب - گزنک),575490
973651,گاليکش - مينودشت,575418
513671,آزادراه همدان - ساوه (عوارضي ساوه),575201
264253,مياندوآب - ملکان (ملکان),573136
213602,داران - تيران,572956
513621,آزادراه ساوه - همدان (عوارضي ساوه),571697
873308,دامغان - شاهرود (دهملا - شاهرود),571692
163323,بابل - گنج افروز (جنب دوربين ثبت تخلف),571220
753278,مجموع گيت هاي عوارضي ساوه - همدان (همدان),569979
264465,جاده قديم تبريز - بستان آباد (تبريز),569820
753154,آزادراه ساوه - همدان (دخان - پل 123),569650
113458,پلور - آبعلي (سه‌راهي مشاء - آبعلي),569402
313194,تربت‌حيدريه - مشهد (رباط سفيد - باغچه),568520
673404.0,آزادراه زنجان - تبريز (نيک‌پي - سرچم),566805
323104,بجنورد - اسفراين (بجنورد),566457
213652,تيران - داران,566237
113408.0,آبعلي - پلور (آبعلي - سه‌راهي مشاء),565644
264415,جاده قديم بستان آباد - تبريز (تبريز),564271
313954,چناران - قوچان,563378
363313,انديمشک - خرم‌آباد (انديمشک),563332
753244,آزادراه همدان - ساوه (چپقلو),563210
413124.0,شيراز - کازرون (خان زنيان - دشت ارژن),562937
873104,سمنان - دامغان (قوشه - دامغان),562350
673601,خرمدره - ابهر,562138
573272,بند - اروميه,561744
753294,آزادراه ساوه - همدان (چپقلو),558418
113502,دماوند - فيروزکوه (سه‌راهي ارجمند - فيروزکوه),556106
323154,اسفراين - بجنورد (بجنورد),555715
163266,رودهن - آمل (گزنک - پنجاب),555443
213153,مورچه‌خورت - اصفهان (پليس‌راه) (متناظر توزين),554898
573153,اروميه - سرو (اروميه),553722
263111,آزادراه تبريز - زنجان (تبريز - عوارضي تبريز),553226
573222,اروميه - بند,553074
363254,حميديه - اهواز,552176
913226,اردبيل - آستارا (اردبيل - گيلانده),551972
163258,آمل - رودهن (گزنک - پلور),551874
313909,قوچان - فاروج (قوچان),551521
933156,مهريز - يزد,549238
264405,آزادراه تبريز - زنجان (عوارضي تبريز - بستان‌آباد),547857
163701,محمودآباد - نور,547439
753104,آزادراه همدان - ساوه (پل 123 - دخان),546767
313151,نيشابور - سه‌راه باغچه (ابرش),546163
113552,فيروزکوه - دماوند (فيروزکوه - سه‌راهي ارجمند),545779
113341,آزادراه تهران- شمال (قطعه اول - بعد از تونل 12),545054
113963,ملارد - شهريار(بلوار وليعصر),544193
414851,جاده قديم مرودشت - سعادت شهر,544056
263237,آزادراه تبريز - زنجان (بستان آباد) (متناظر توزين),543202
163208,رودهن - آمل (پلور - گزنک),542421
453103,کرمان - باغين (متناظر توزين),542091
714202,بيستون - صحنه,541780
264502,صوفيان - مرند,541233
873352,دامغان - شاهرود (دامغان - دهملا),541096
214762,نجف‌آباد - اصفهان (نجف‌آباد - فولادشهر),540392
873152,مهديشهر - سمنان,540162
513606,آزادراه ساوه - همدان (عوارضي ساوه - دخان),539143
873358,شاهرود - دامغان (شاهرود - دهملا),538762
873151,آرادان - سرخه,538291
313901,چناران - قوچان (چناران - سه‌راه چکنه),535863
544359.0,صومعه سرا - فومن,535736
973902,آزادشهر - گنبد,533431
114206,تهران - وردآورد (همت),532959
873102,سمنان - مهديشهر,532609
213106,اصفهان - زيار,530733
313904,قوچان - چناران (متناظر توزين),530649
313951,قوچان - چناران (سه‌راه چکنه - چناران),529547
113454,فيروزکوه - دماوند (سه‌راه ارجمند - امين‌آباد),529225
164653,آزادراه تهران - شمال (مرزن‌آباد - چالوس),527078
183218,آزادراه تهران- کرج (همت-مرز استان),526619
264552,مرند - صوفيان,526296
313852,تریت حیدریه - مشهد (رباط سنگ - باغچه),525748
643802,سه‌راهي چاه اسماعيل - ميناب,525623
513161,فرمهين - اراك,523589
363204,اهواز - حميديه,521886
213114,اصفهان - فرودگاه(قهجاورستان),521774
214552,مبارکه - اصفهان,518638
714252,صحنه - بستون,518422
753228,مجموع گيت هاي عوارضي همدان - ساوه (همدان),517508
164104,چالوس - کرج (دوآب - مرزن آباد),517387
214255,آزادراه نطنز - کاشان (نطنز),517234
873105,سمنان - سرخه,516237
573103,سرو - اروميه (اروميه),516095
113404.0,دماوند - فيروزکوه (امين‌آباد - سه‌راه ارجمند),515241
873403,ايوانکي - گرمسار,511157
543272,سياهکل - سنگر,511108
544309.0,فومن - صومعه سرا,511053
873453,گرمسار - ايوانکي,510371
853105,ياسوج - پاتاوه,510193
773319,بروجن - گندمان (متناظر توزين),509627
513656,آزادراه همدان - ساوه (دخان - عوارضي ساوه),507935
214502,اصفهان - مبارکه,507224
