code,type,origin,destination,place
213284,,اردستان,نطنز,آزادراه کنار گذر شرقی - کیلومتر30
213401,,خوانسار,دامنه,سه راهی دربید
213402,,خوانسار,گلپایگان,وانشان
213451,,دامنه,خوانسار,سه راهی دربید
213452,,گلپایگان,خوانسار,وانشان
213501,,سمیرم,یاسوج,سه‌راهی پاتاوه
213551,,یاسوج,سمیرم,سه‌راهی پاتاوه
213601,,الیگودرز,داران,بویین میاندشت - داران
213602,,داران,تیران,
213651,,داران,الیگودرز,داران - بویین میاندشت
213652,,تیران,داران,
213701,,سه راهی ازون بلاغ,فریدونشهر,
213751,,فریدونشهر,سه راهی ازون بلاغ,
213801,,ابریشم,پیربکران,
213851,,پیربکران,ابریشم,
213902,,شهرضا,سمیرم,
213903,,شهرضا,هرند,شهرضا - نیک‌آباد
213910,,دهاقان,بروجن,
213918,,شهرضا,دهاقان,گلشن
213921,,شهرضا,ایزدخواست,منظریه
213952,,سمیرم,شهرضا,
213953,,هرند,شهرضا,نیک‌آباد - شهرضا
213960,,بروجن,دهاقان,
213968,,دهاقان(گلشن),شهرضا,
213971,,ایزدخواست,شهرضا,منظریه
214202,آزادراه,کاشان,قم,کاشان - مشکات
214204,,بادرود,اردستان,متناظر توزین
214205,آزادراه,کاشان,نطنز,نطنز
214209,جاده قدیم,مورچه‌خورت,نطنز,سه راهی مورچه خورت
214210,,قمصر,کاشان,
214211,,کاشان,بادرود,
214239,آزادراه,کاشان,نطنز,متناظر توزین
214240,,کاشان,مشهد اردهال,
214241,,کاشان,نراق,مرز استان
214252,آزادراه,قم,کاشان,مشکات - کاشان
214254,,اردستان,بادرود,
214255,آزادراه,نطنز,کاشان,نطنز
214259,جاده قدیم,نطنز,مورچه‌خورت,سه راهی مورچه خورت
214260,,کاشان,قمصر,
214289,آزادراه,نطنز,کاشان,
214290,,مشهد اردهال,کاشان,
214291,,نراق,کاشان,مرز استان
214301,جاده قدیم,کاشان,قم,کاشان - سن سن
214351,جاده قدیم,قم,کاشان,سن سن - کاشان
214401,,گلپایگان,خمین,
214402,,گلپایگان,سه‌راه موته,
214451,,خمین,گلپایگان,
214452,,سه‌راه موته,گلپایگان,
214502,,اصفهان,مبارکه,
214503,,زرین‌شهر,سفیددشت,
214511,آزادراه,زرین‌شهر,نجف‌آباد,
214552,,مبارکه,اصفهان,
214553,,سفیددشت,زرین‌شهر,
214561,آزادراه,نجف‌آباد,زرین‌شهر,
214602,,انارک,خور,سه‌راهی جندق - خور
214603,,انارک,جندق,جندق - سه‌راه جندق
214604,,نائین,انارک,
214607,,نائین,عقدا,نائین) (متناظر توزین
214641,,بهارستان,نیک آباد,
214642,,نائین,سجزی,متناظر توزین
214652,,خور,انارک,خور - سه‌راهی جندق
214653,,جندق,انارک,سه‌راه جندق - جندق
214654,,انارک,نائین,
214657,,عقدا,نائین,نائین
214691,,نیک آباد,بهارستان,
214692,,سجزی,نائین,
214701,,نجف‌آباد,تیران,
214702,,خمینی‌شهر,نجف‌آباد,
214703,,علویجه,گلپایگان,علویجه
214711,,دهق,گلپایگان,خنداب
214712,,اصفهان,نجف‌آباد,فولادشهر - نجف‌آباد
214751,,تیران,نجف‌آباد,
214752,,نجف‌آباد,خمینی‌شهر,
214753,,گلپایگان,علویجه,علویجه
214761,,گلپایگان,دهق,خنداب
214762,,نجف‌آباد,اصفهان,نجف‌آباد - فولادشهر
214801,,تیران,سامان,تیران
214808,,تیران,داران,سه راهی دامنه
214851,,سامان,تیران,تیران
214858,,داران,تیران,سه راهی دامنه
214901,آزادراه,نطنز,اصفهان,عوارضی اصفهان
214902,آزادراه,نطنز,اصفهان,نطنز
214903,,اردستان,کاشان,موغار
214951,آزادراه,اصفهان,نطنز,عوارضی اصفهان
214952,آزادراه,اصفهان,نطنز,نطنز
214953,,کاشان,اردستان,موغار
215101,,میمه,دلیجان,میمه
215102,,شاهین‌شهر,مورچه‌خورت,بزرگراه آزادگان
215103,آزادراه,مورچه‌خورت,نجف‌آباد,
215104,آزادراه,شاهین‌شهر,اصفهان,آزادراه معلم
215108,,مورچه‌خورت,میمه,سه راهی نطنز - مورچه خورت
215151,,دلیجان,میمه,میمه
215152,,مورچه‌خورت,شاهین‌شهر,بزرگراه آزادگان
215153,آزادراه,نجف‌آباد,مورچه‌خورت,
215154,آزادراه,اصفهان,شاهین‌شهر,آزادراه معلم
215158,,میمه,مورچه‌خورت,سه راهی نطنز - مورچه خورت
215201,,شهرضا,طالخونچه,
215203,,اصفهان,شهرضا,سه‌راهی مبارکه) (متناظر توزین
215205,,مبارکه,بروجن,قمشلو
215251,,طالخونچه,شهرضا,
215253,,شهرضا,اصفهان,سه‌راهی مبارکه
