|code|nowruz_02|nowruz_03
558|413702|['1402-01-04', '1402-01-05', '1402-01-06', '1402-01-07', '1402-01-08', '1402-01-09', '1402-01-10', '1402-01-11', '1402-01-12', '1402-01-13']|['1403-01-06', '1403-01-07', '1403-01-08', '1403-01-09', '1403-01-10', '1403-01-11']
559|413752|['1401-12-28', '1402-01-04']|['1402-12-28', '1403-01-07']
560|413765|['1402-01-13']|
561|413801.0|['1402-01-03', '1402-01-04', '1402-01-05', '1402-01-06', '1402-01-14']|['1403-01-02', '1403-01-03', '1403-01-04', '1403-01-05', '1403-01-07', '1403-01-08']
562|413851.0|['1401-12-27', '1401-12-28', '1401-12-29', '1402-01-05', '1402-01-06', '1402-01-07', '1402-01-09', '1402-01-10']|['1402-12-28', '1403-01-05', '1403-01-07', '1403-01-08', '1403-01-09']
563|414102|['1401-12-12']|['1403-01-09', '1403-01-13']
564|414114||['1403-01-04', '1403-01-05', '1403-01-06', '1403-01-07', '1403-01-08', '1403-01-09', '1403-01-10', '1403-01-11', '1403-01-12', '1403-01-13']
565|414115||['1403-01-12', '1403-01-13', '1403-01-17']
566|414152|['1401-12-12', '1401-12-19', '1402-01-04', '1402-01-13']|
567|414158|['1401-12-27', '1401-12-28', '1402-01-04', '1402-01-05', '1402-01-06', '1402-01-07', '1402-01-08', '1402-01-09', '1402-01-10', '1402-01-14']|['1403-01-07', '1403-01-08']
568|414164||['1402-12-29', '1403-01-02']
569|414202|['1402-01-12', '1402-01-13']|['1403-01-13']
570|414252|['1402-01-12', '1402-01-13']|['1403-01-13']
571|414302|['1402-01-04', '1402-01-11', '1402-01-13']|['1403-01-13']
572|414307|['1402-01-11', '1402-01-12', '1402-01-13']|
573|414307.0||['1403-01-10', '1403-01-11', '1403-01-12', '1403-01-13']
574|414308|['1401-12-10', '1401-12-11', '1401-12-14', '1401-12-15', '1401-12-16', '1401-12-17', '1401-12-18', '1401-12-25', '1401-12-28', '1401-12-29', '1402-01-12']|
575|414309|['1402-01-13']|
576|414309.0||['1403-01-13']
577|414310|['1401-12-29', '1402-01-01', '1402-01-02', '1402-01-03', '1402-01-08']|
578|414310.0||['1403-01-02', '1403-01-03', '1403-01-04', '1403-01-07', '1403-01-08', '1403-01-09']
579|414311|['1401-12-12', '1401-12-17', '1401-12-28', '1401-12-29', '1402-01-01', '1402-01-02', '1402-01-03', '1402-01-04', '1402-01-05', '1402-01-08', '1402-01-09', '1402-01-10']|
580|414311.0||['1403-01-02', '1403-01-03', '1403-01-04', '1403-01-07', '1403-01-08', '1403-01-09', '1403-01-10']
581|414352|['1401-12-28', '1401-12-29', '1402-01-02']|['1403-01-02', '1403-01-07']
582|414357|['1402-01-11', '1402-01-12', '1402-01-13']|
583|414357.0||['1403-01-10', '1403-01-11', '1403-01-12', '1403-01-13']
584|414359|['1402-01-12', '1402-01-13']|
585|414359.0||['1403-01-13']
586|414360|['1402-01-04', '1402-01-05', '1402-01-06', '1402-01-08', '1402-01-10', '1402-01-11', '1402-01-12']|
587|414360.0||['1403-01-04', '1403-01-05', '1403-01-09', '1403-01-10', '1403-01-11', '1403-01-12']
588|414361|['1401-12-12', '1402-01-04']|
589|414361.0||['1402-12-19']
590|414402||['1403-01-02', '1403-01-03', '1403-01-04', '1403-01-05', '1403-01-09']
591|414403|['1402-01-04', '1402-01-05', '1402-01-11', '1402-01-12', '1402-01-13']|['1403-01-04', '1403-01-10', '1403-01-11', '1403-01-12', '1403-01-13']
592|414452|['1402-01-05', '1402-01-06', '1402-01-11', '1402-01-12']|['1403-01-04', '1403-01-09', '1403-01-10', '1403-01-11', '1403-01-12']
593|414453|['1402-01-03', '1402-01-04', '1402-01-10', '1402-01-11', '1402-01-13']|['1403-01-02', '1403-01-03', '1403-01-04', '1403-01-07', '1403-01-08', '1403-01-09', '1403-01-10', '1403-01-13']
594|414551|['1401-12-29']|
595|414551.0||['1402-12-23', '1402-12-24']
596|414601|['1402-01-05', '1402-01-06', '1402-01-15']|
597|414602|['1402-01-06', '1402-01-07', '1402-01-08', '1402-01-09', '1402-01-10']|['1403-01-05', '1403-01-06', '1403-01-07', '1403-01-08', '1403-01-09', '1403-01-10', '1403-01-11']
598|414603|['1402-01-12', '1402-01-13']|
599|414604|['1401-12-10', '1401-12-11', '1401-12-12', '1401-12-13', '1401-12-14', '1401-12-15', '1401-12-16', '1401-12-17']|
600|414605|['1401-12-23']|['1402-12-22']
601|414607|['1401-12-16', '1401-12-27', '1401-12-28']|
602|414614|['1401-12-27', '1401-12-28', '1401-12-29', '1402-01-01', '1402-01-02', '1402-01-03', '1402-01-07', '1402-01-10']|['1403-01-05', '1403-01-06', '1403-01-07', '1403-01-08', '1403-01-09', '1403-01-11']
603|414653|['1401-12-12', '1401-12-19', '1402-01-12', '1402-01-13']|
604|414654|['1401-12-10', '1401-12-11', '1401-12-12', '1401-12-13', '1401-12-14', '1401-12-15', '1401-12-16', '1401-12-17', '1401-12-28', '1401-12-29', '1402-01-13']|
605|414657|['1401-12-27', '1401-12-28']|
606|414658|['1401-12-12', '1401-12-19']|
607|414703.0|['1402-01-11']|
608|414753||['1402-12-28']
609|414801|['1401-12-28', '1401-12-29', '1402-01-02', '1402-01-03', '1402-01-04', '1402-01-05', '1402-01-06', '1402-01-08', '1402-01-10', '1402-01-13']|['1403-01-02', '1403-01-04', '1403-01-07', '1403-01-08', '1403-01-13']
610|414802|['1402-01-04', '1402-01-05', '1402-01-06', '1402-01-07', '1402-01-08', '1402-01-09', '1402-01-10', '1402-01-11', '1402-01-12']|
611|414803|['1401-12-21']|
612|414805|['1401-12-28']|
613|414806|['1401-12-27', '1401-12-28', '1401-12-29', '1402-01-02', '1402-01-03', '1402-01-04', '1402-01-05']|
614|414807|['1401-12-27', '1401-12-28', '1401-12-29', '1402-01-02', '1402-01-03', '1402-01-04', '1402-01-05']|
615|414819|['1402-01-04', '1402-01-05', '1402-01-06', '1402-01-07', '1402-01-08', '1402-01-09', '1402-01-10', '1402-01-11', '1402-01-12']|
616|414851|['1402-01-03', '1402-01-04', '1402-01-05', '1402-01-06', '1402-01-08', '1402-01-09', '1402-01-10', '1402-01-11', '1402-01-12', '1402-01-13']|['1403-01-02', '1403-01-04', '1403-01-07', '1403-01-08', '1403-01-09', '1403-01-10', '1403-01-11', '1403-01-12']
617|414852|['1401-12-26', '1401-12-27', '1401-12-28', '1401-12-29', '1402-01-01', '1402-01-02', '1402-01-03', '1402-01-04', '1402-01-05', '1402-01-06', '1402-01-07']|
618|414855|['1402-01-10']|
619|414856|['1402-01-06', '1402-01-08', '1402-01-09', '1402-01-10']|
620|414857|['1402-01-09', '1402-01-10']|
621|414869|['1401-12-28', '1401-12-29', '1402-01-01', '1402-01-02', '1402-01-03', '1402-01-04', '1402-01-05', '1402-01-13']|
622|414901|['1401-12-28', '1401-12-29', '1402-01-01', '1402-01-02', '1402-01-03', '1402-01-04']|
623|414901.0||['1403-01-02', '1403-01-04', '1403-01-07', '1403-01-08', '1403-01-09']
624|414902|['1401-12-29', '1402-01-03', '1402-01-04', '1402-01-05', '1402-01-14']|['1403-01-04', '1403-01-07']
625|414951|['1402-01-04', '1402-01-05', '1402-01-06', '1402-01-10', '1402-01-11']|
626|414951.0||['1403-01-04', '1403-01-07', '1403-01-09', '1403-01-10', '1403-01-11']
627|414952|['1402-01-04', '1402-01-05', '1402-01-06', '1402-01-08', '1402-01-09', '1402-01-10', '1402-01-11', '1402-01-12']|['1403-01-07', '1403-01-08', '1403-01-09', '1403-01-10', '1403-01-11']
628|453102|['1402-01-13']|
629|453103||['1403-01-15']
630|453104|['1402-01-13']|
631|453112|['1402-01-13']|['1403-01-13']
632|453113|['1402-01-03', '1402-01-04', '1402-01-10', '1402-01-11', '1402-01-12']|['1403-01-02', '1403-01-03', '1403-01-04', '1403-01-05', '1403-01-06', '1403-01-07', '1403-01-08', '1403-01-09', '1403-01-10', '1403-01-11', '1403-01-12', '1403-01-13', '1403-01-14', '1403-01-15', '1403-01-16', '1403-01-17', '1403-01-18', '1403-01-19', '1403-01-20']
633|453114|['1402-01-13']|
634|453115|['1401-12-25']|['1402-12-17']
635|453154|['1401-12-23', '1402-01-13']|
636|453154.0||['1403-01-13']
637|453161|['1402-01-13']|
638|453163|['1402-01-03', '1402-01-04', '1402-01-11', '1402-01-12', '1402-01-13']|['1403-01-02', '1403-01-03', '1403-01-04', '1403-01-05', '1403-01-06', '1403-01-07', '1403-01-08', '1403-01-09', '1403-01-10', '1403-01-11', '1403-01-12', '1403-01-13', '1403-01-14', '1403-01-15', '1403-01-16', '1403-01-17', '1403-01-18', '1403-01-19', '1403-01-20']
639|453164|['1402-01-13']|['1403-01-13']
640|453202|['1401-12-25']|
641|453203.0|['1402-01-12']|
642|453204|['1402-01-13']|['1403-01-13']
643|453205|['1402-01-13']|
644|453206||['1403-01-08']
645|453246.0||['1402-12-24']
646|453247||['1403-01-18', '1403-01-19']
647|453249||['1403-01-09']
